current_date,opening_balance,closing_balance,monthly_realized_pnl,monthly_unrealized_pnl,ticker,status,shares_qty,bought_price,bought_date,current_price,current_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,cash_balance,total_portfolio_value,bought_value,tag
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,PETRONET.NS,Held,415,117.125,11/30/2015,125.375,52030.625,3423.75,7.04375667,,,2371.794601,903220.4332,48606.875,Other 500 Stocks
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,IGL.NS,Held,956,52.90000153,12/31/2015,56.95999908,54453.75912,3881.357666,7.674853387,,,2371.794601,903220.4332,50572.40146,Nifty Midcap 150
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,VAKRANGEE.NS,Held,622,81.29891968,12/31/2015,92.31736755,57421.40262,6853.474579,13.55300651,,,2371.794601,903220.4332,50567.92804,Other 500 Stocks
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,BAJFINANCE.NS,Held,779,59.2840004,1/31/2016,69.24150085,53939.12917,7756.892857,16.79626947,,,2371.794601,903220.4332,46182.23631,Nifty 50
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,JSWSTEEL.NS,Held,436,105.7050018,1/31/2016,128.3249969,55949.69867,9862.317871,21.39917196,,,2371.794601,903220.4332,46087.3808,Nifty 50
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,PIDILITIND.NS,Held,127,586.6500244,2/29/2016,589.2999878,74841.09845,336.5453491,0.451711117,,,2371.794601,903220.4332,74504.5531,Nifty 50
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,RELIANCE.NS,Held,338,220.9599304,2/29/2016,238.9151306,80753.31415,6068.857666,8.125998303,,,2371.794601,903220.4332,74684.45648,Nifty 50
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,ASIANPAINT.NS,Held,88,846.0999756,2/29/2016,868.4000244,76419.20215,1962.404297,2.635628114,,,2371.794601,903220.4332,74456.79785,Other 500 Stocks
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,INFY.NS,Held,138,542.0250244,2/29/2016,609.1500244,84062.70337,9263.25,12.38411457,,,2371.794601,903220.4332,74799.45337,Other 500 Stocks
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,TVSMOTOR.NS,Held,279,268.1499939,2/29/2016,322.7999878,90061.19659,15247.3483,20.3803823,,,2371.794601,903220.4332,74813.8483,Nifty 50
3/31/2016,988275.3462,1050662.067,-4655.278625,67041.99955,MARICO.NS,Held,316,236.75,2/29/2016,244.3000031,77198.80096,2385.800964,3.18901924,,,2371.794601,903220.4332,74813,Nifty Next 50
